City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
300,Cabedelo,BR,-6.9811,-34.8339,2022-06-18 18:58:02,84.87,78,74,8.97,broken clouds
301,Muzhi,RU,65.3667,64.6667,2022-06-18 18:58:03,62.01,78,100,3.04,overcast clouds
302,Bastia,FR,42.6667,9.3333,2022-06-18 18:58:03,85.33,51,0,2.3,clear sky
303,Brigantine,US,39.4101,-74.3646,2022-06-18 18:58:03,75.02,54,75,18.41,broken clouds
304,La Rioja,ES,42.25,-2.5,2022-06-18 18:58:04,87.58,23,3,11.48,clear sky
305,Zuenoula,CI,7.4292,-6.0431,2022-06-18 18:58:04,76.64,66,49,3.87,scattered clouds
306,Rawah,IQ,34.4816,41.9093,2022-06-18 18:58:04,100.36,13,0,7.45,clear sky
307,Khandbari,NP,27.3747,87.2039,2022-06-18 18:58:05,72.23,90,96,0.36,overcast clouds
308,Chicama,PE,-7.8447,-79.1469,2022-06-18 18:58:05,64.94,57,35,10.18,scattered clouds
309,Delfzijl,NL,53.33,6.9181,2022-06-18 18:58:06,63.07,72,80,4.0,broken clouds
310,Najran,SA,17.4924,44.1277,2022-06-18 18:58:06,92.05,13,100,2.21,overcast clouds
311,Jiblah,YE,13.9216,44.1467,2022-06-18 18:58:06,71.17,61,100,2.77,light rain
312,Maltahohe,NA,-24.8333,16.9833,2022-06-18 18:58:07,51.69,24,0,8.63,clear sky
313,Praia Da Vitoria,PT,38.7333,-27.0667,2022-06-18 18:58:07,68.25,77,75,15.7,broken clouds
314,Garowe,SO,8.4054,48.4845,2022-06-18 18:58:07,85.78,33,96,17.02,overcast clouds
315,Faya,SA,18.3851,42.4509,2022-06-18 18:58:08,75.31,30,100,2.86,overcast clouds
316,Jalalabad,AF,34.4265,70.4515,2022-06-18 18:58:08,84.38,38,0,1.34,clear sky
317,Vilhena,BR,-12.7406,-60.1458,2022-06-18 18:58:09,71.82,88,75,9.22,broken clouds
318,Luanda,AO,-8.8368,13.2343,2022-06-18 18:58:09,71.6,78,0,9.22,clear sky
319,Harper,LR,4.375,-7.7169,2022-06-18 18:58:09,77.81,71,25,7.63,scattered clouds
320,Berlevag,NO,70.8578,29.0864,2022-06-18 18:58:10,42.8,87,100,8.05,overcast clouds
321,Lasa,IT,46.6166,10.7002,2022-06-18 18:58:10,69.96,81,10,3.15,clear sky
322,Sao Joao Da Barra,BR,-21.6403,-41.0511,2022-06-18 18:59:11,86.09,55,0,14.83,clear sky
323,Birsk,RU,55.4211,55.5428,2022-06-18 18:59:11,57.15,85,7,4.45,clear sky
324,Saint-Francois,FR,46.4154,3.9054,2022-06-18 18:59:12,90.84,31,0,12.66,clear sky
325,Tazovskiy,RU,67.4667,78.7,2022-06-18 18:59:12,53.28,59,99,6.82,overcast clouds
326,Chitral,PK,35.8462,71.7858,2022-06-18 18:56:56,69.46,55,22,1.95,few clouds
327,Kaabong,UG,3.4836,34.1492,2022-06-18 18:59:13,66.49,62,100,6.08,overcast clouds
328,Nowa Ruda,PL,50.5801,16.5016,2022-06-18 18:58:54,71.85,61,7,7.92,clear sky
329,Diego De Almagro,CL,-26.3667,-70.05,2022-06-18 18:59:13,68.81,18,0,7.18,clear sky
330,Lebedyn,UA,50.5852,34.4849,2022-06-18 18:59:14,58.46,90,16,5.99,few clouds
331,Bonavista,CA,48.6499,-53.1147,2022-06-18 18:59:14,56.37,81,100,24.25,overcast clouds
332,Puerto Rico,AR,-26.796,-55.024,2022-06-18 18:59:14,59.41,40,0,2.3,clear sky
333,Sarkand,KZ,45.41,79.9186,2022-06-18 18:59:15,64.72,38,41,8.52,scattered clouds
334,Luquillo,PR,18.3725,-65.7166,2022-06-18 18:59:15,91.58,66,100,10.36,overcast clouds
335,Lima,PE,-12.0432,-77.0282,2022-06-18 18:56:24,64.65,63,40,9.22,scattered clouds
336,Jurado,CO,7.1053,-77.7641,2022-06-18 18:59:16,78.15,90,100,9.44,moderate rain
337,Santa Maria,BR,-29.6842,-53.8069,2022-06-18 18:54:30,54.7,44,0,5.75,clear sky
338,Makokou,GA,0.5738,12.8642,2022-06-18 18:59:16,70.16,92,98,2.53,overcast clouds
339,Olivenza,ES,38.6832,-7.103,2022-06-18 18:59:17,83.26,31,0,15.93,clear sky
340,Alipur,PK,29.3846,70.9116,2022-06-18 18:59:17,87.6,59,65,10.04,broken clouds
341,Alvinopolis,BR,-20.1067,-43.0489,2022-06-18 18:59:17,81.41,32,1,3.83,clear sky
342,Waw,SS,7.7029,27.9953,2022-06-18 18:59:18,70.41,90,100,6.42,overcast clouds
343,Catamarca,AR,-28.4696,-65.7852,2022-06-18 18:59:19,71.58,27,55,8.99,broken clouds
344,Lere,NG,10.387,8.5726,2022-06-18 18:59:19,74.8,71,100,1.72,overcast clouds
345,Bubaque,GW,11.2833,-15.8333,2022-06-18 18:59:19,76.5,81,100,10.18,light rain
346,Tripoli,LY,32.8752,13.1875,2022-06-18 18:59:20,78.37,56,10,9.06,clear sky
347,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,2022-06-18 18:59:21,76.24,24,0,4.29,clear sky
348,Peniche,PT,39.3558,-9.3811,2022-06-18 18:59:21,70.09,84,20,13.94,few clouds
349,Ovre Ardal,NO,61.3167,7.8,2022-06-18 18:59:22,47.16,66,70,6.04,broken clouds
350,Wanlaweyn,SO,2.6185,44.8938,2022-06-18 18:59:22,76.26,76,76,18.79,broken clouds
351,Wiarton,CA,44.7407,-81.1332,2022-06-18 18:59:22,64.04,48,0,9.22,clear sky
352,Santa Cruz,BO,-17.8,-63.1667,2022-06-18 18:58:26,72.86,33,75,16.11,broken clouds
353,Hamilton,US,39.1834,-84.5333,2022-06-18 18:55:34,77.99,39,0,8.99,clear sky
354,Ordzhonikidze,KZ,52.4411,61.7408,2022-06-18 18:59:23,62.38,91,69,6.02,broken clouds
355,Teguldet,RU,57.3064,88.1667,2022-06-18 18:59:23,52.14,98,19,2.82,few clouds
356,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,2022-06-18 18:59:24,53.13,44,0,10.25,clear sky
